tr1,tr2,soft,hard
0,1,0.9241666666666667,0.9241666666666667
0,2,0.9334285714285714,0.9253333333333333
0,3,0.9372142857142857,0.9332380952380952
0,4,0.9385476190476191,0.9350714285714286
0,5,0.9425,0.9413809523809524
1,0,0.9983809523809524,0.9983809523809524
1,1,0.9986904761904762,0.9658571428571429
1,2,0.9935238095238095,0.9599761904761904
1,3,0.9850476190476191,0.9529047619047619
1,4,0.9785,0.9522142857142857
1,5,0.974,0.9535238095238096
2,0,0.998452380952381,0.9981904761904762
2,1,0.9987142857142857,0.9985
2,2,0.998547619047619,0.9843333333333333
2,3,0.9974761904761905,0.9708571428571429
2,4,0.9941904761904762,0.9657857142857142
2,5,0.9902380952380953,0.9641904761904762
3,0,0.9989761904761905,0.9989761904761905
3,1,0.9990238095238095,0.9988809523809524
3,2,0.9990476190476191,0.9985952380952381
3,3,0.9989285714285714,0.9875238095238095
3,4,0.9984285714285714,0.9785714285714285
3,5,0.9971428571428571,0.9737380952380953
4,0,0.9989523809523809,0.9989047619047619
4,1,0.999,0.9989761904761905
4,2,0.9990238095238095,0.9988571428571429
4,3,0.9989047619047619,0.9986666666666667
4,4,0.9987380952380952,0.9915238095238095
4,5,0.9985952380952381,0.9827857142857143
5,0,0.9989523809523809,0.9990714285714286
5,1,0.999,0.9990238095238095
5,2,0.9990952380952381,0.9990238095238095
5,3,0.9990714285714286,0.9988571428571429
5,4,0.9989761904761905,0.9986904761904762
5,5,0.9988571428571429,0.9930238095238095
