tr1,tr2,soft,hard
0,1,0.9322380952380952,0.9322380952380952
0,2,0.9451190476190476,0.9274523809523809
0,3,0.9412380952380952,0.9354523809523809
0,4,0.9495476190476191,0.9451190476190476
0,5,0.9538571428571428,0.9510714285714286
1,0,0.9987142857142857,0.9987142857142857
1,1,0.9988571428571429,0.9547857142857142
1,2,0.9900714285714286,0.9655
1,3,0.9810714285714286,0.9595952380952381
1,4,0.9784285714285714,0.9602142857142857
1,5,0.9756190476190476,0.9623809523809523
2,0,0.9989047619047619,0.9988095238095238
2,1,0.9989523809523809,0.9989761904761905
2,2,0.9988809523809524,0.9805238095238096
2,3,0.995904761904762,0.9733571428571428
2,4,0.9927619047619047,0.9732857142857143
2,5,0.9886428571428572,0.9711666666666666
3,0,0.9992142857142857,0.9992619047619048
3,1,0.9992857142857143,0.9989047619047619
3,2,0.9992619047619048,0.9990476190476191
3,3,0.9991190476190476,0.9874761904761905
3,4,0.9980952380952381,0.9841666666666666
3,5,0.9958095238095238,0.980547619047619
4,0,0.9992857142857143,0.9992619047619048
4,1,0.9993571428571428,0.9993333333333333
4,2,0.9993333333333333,0.9989523809523809
4,3,0.9991904761904762,0.9988571428571429
4,4,0.9990476190476191,0.9936428571428572
4,5,0.9984761904761905,0.9870714285714286
5,0,0.9992857142857143,0.9993571428571428
5,1,0.9993809523809524,0.9993571428571428
5,2,0.9994047619047619,0.9993571428571428
5,3,0.9993809523809524,0.9989523809523809
5,4,0.9992619047619048,0.9987857142857143
5,5,0.9991428571428571,0.9947380952380952
