ImageId,Label
1,5
2,5
3,4
4,4
5,3
6,7
7,0
8,3
9,0
10,3
11,5
12,7
13,4
14,0
15,4
16,5
17,5
18,1
19,9
20,0
21,4
22,1
23,7
24,5
25,7
26,4
27,3
28,7
29,7
30,7
31,7
32,5
33,4
34,7
35,6
36,2
37,5
38,5
39,1
40,6
41,7
42,7
43,4
44,4
45,5
46,7
47,8
48,3
49,6
50,7
51,6
52,5
53,4
54,3
55,9
56,1
57,1
58,4
59,4
60,0
61,4
62,7
63,7
64,0
65,0
66,0
67,1
68,4
69,0
70,1
71,6
72,5
73,3
74,8
75,2
76,0
77,5
78,9
79,1
80,5
81,5
82,4
83,1
84,0
85,4
86,7
87,4
88,5
89,6
90,7
91,7
92,5
93,6
94,6
95,7
96,4
97,3
98,4
99,7
100,4
101,0
102,3
103,7
104,5
105,7
106,5
107,0
108,5
109,5
110,9
111,6
112,0
113,4
114,7
115,1
116,7
117,7
118,1
119,5
120,3
121,3
122,7
123,2
124,0
125,6
126,3
127,5
128,7
129,7
130,4
131,5
132,5
133,4
134,5
135,0
136,0
137,3
138,1
139,3
140,6
141,4
142,3
143,4
144,5
145,3
146,8
147,7
148,7
149,7
150,8
151,4
152,3
153,3
154,6
155,5
156,7
157,7
158,5
159,7
160,4
161,7
162,4
163,4
164,5
165,1
166,7
167,7
168,6
169,5
170,5
171,5
172,7
173,9
174,6
175,1
176,3
177,7
178,4
179,1
180,2
181,4
182,2
183,5
184,3
185,4
186,9
187,2
188,1
189,0
190,0
191,6
192,4
193,4
194,4
195,6
196,0
197,4
198,7
199,6
200,4
201,1
202,4
203,0
204,9
205,9
206,0
207,0
208,4
209,6
210,3
211,0
212,9
213,3
214,6
215,9
216,2
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,3
225,2
226,4
227,4
228,6
229,1
230,0
231,0
232,4
233,7
234,1
235,7
236,3
237,5
238,7
239,2
240,6
241,5
242,6
243,2
244,5
245,5
246,5
247,4
248,5
249,3
250,6
251,4
252,9
253,1
254,7
255,3
256,4
257,5
258,1
259,4
260,5
261,6
262,3
263,3
264,5
265,7
266,0
267,6
268,5
269,5
270,1
271,6
272,0
273,6
274,3
275,3
276,4
277,1
278,5
279,3
280,4
281,0
282,9
283,2
284,0
285,5
286,3
287,7
288,1
289,9
290,4
291,5
292,7
293,7
294,4
295,4
296,6
297,3
298,4
299,3
300,3
301,6
302,4
303,8
304,2
305,4
306,3
307,7
308,7
309,4
310,5
311,3
312,5
313,4
314,0
315,0
316,3
317,9
318,4
319,1
320,8
321,9
322,7
323,1
324,4
325,3
326,4
327,4
328,1
329,5
330,7
331,6
332,3
333,1
334,5
335,0
336,4
337,0
338,0
339,6
340,4
341,6
342,3
343,1
344,4
345,6
346,0
347,6
348,3
349,5
350,2
351,6
352,7
353,7
354,7
355,5
356,5
357,5
358,4
359,4
360,7
361,5
362,6
363,5
364,6
365,4
366,3
367,3
368,8
369,1
370,6
371,4
372,6
373,7
374,9
375,7
376,6
377,4
378,5
379,3
380,7
381,6
382,5
383,5
384,4
385,2
386,6
387,7
388,1
389,3
390,7
391,1
392,7
393,9
394,9
395,6
396,1
397,1
398,1
399,7
400,5
401,9
402,7
403,6
404,1
405,1
406,1
407,9
408,3
409,8
410,5
411,5
412,4
413,4
414,7
415,4
416,3
417,1
418,1
419,3
420,5
421,9
422,6
423,6
424,5
425,5
426,1
427,4
428,7
429,4
430,7
431,4
432,0
433,5
434,1
435,6
436,1
437,3
438,9
439,5
440,0
441,8
442,4
443,7
444,4
445,4
446,4
447,7
448,5
449,3
450,4
451,5
452,7
453,6
454,4
455,5
456,9
457,1
458,3
459,5
460,6
461,6
462,7
463,5
464,0
465,5
466,1
467,7
468,4
469,4
470,1
471,1
472,4
473,9
474,5
475,0
476,0
477,7
478,3
479,1
480,0
481,4
482,9
483,1
484,2
485,7
486,4
487,4
488,4
489,5
490,7
491,9
492,4
493,7
494,4
495,6
496,7
497,5
498,2
499,3
500,0
501,6
502,3
503,4
504,4
505,7
506,2
507,3
508,3
509,6
510,6
511,7
512,5
513,8
514,7
515,5
516,3
517,5
518,7
519,4
520,5
521,6
522,9
523,0
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,3
534,4
535,3
536,5
537,6
538,5
539,4
540,7
541,6
542,7
543,5
544,2
545,0
546,7
547,0
548,9
549,2
550,1
551,7
552,3
553,0
554,5
555,5
556,5
557,7
558,5
559,6
560,2
561,0
562,3
563,0
564,1
565,6
566,5
567,4
568,1
569,1
570,4
571,4
572,5
573,3
574,6
575,0
576,4
577,6
578,3
579,4
580,5
581,5
582,1
583,2
584,6
585,4
586,1
587,7
588,3
589,5
590,0
591,8
592,4
593,4
594,5
595,3
596,6
597,6
598,6
599,5
600,5
601,1
602,1
603,7
604,1
605,6
606,2
607,8
608,5
609,0
610,4
611,7
612,4
613,3
614,3
615,2
616,4
617,7
618,0
619,0
620,9
621,2
622,5
623,4
624,4
625,0
626,8
627,1
628,3
629,6
630,7
631,6
632,1
633,8
634,4
635,1
636,4
637,7
638,7
639,8
640,3
641,0
642,4
